date,region,cumulative_recoveries
4-Jun,Regina,75
5-Jun,Far North,237
5-Jun,North,107
5-Jun,Central,11
5-Jun,Saskatoon,165
5-Jun,South,16
5-Jun,Regina,75
6-Jun,Far North,237
6-Jun,North,107
6-Jun,Central,11
6-Jun,Saskatoon,165
6-Jun,South,16
6-Jun,Regina,75
7-Jun,Far North,247
7-Jun,North,108
7-Jun,Central,11
7-Jun,Saskatoon,166
7-Jun,South,16
7-Jun,Regina,75
8-Jun,Far North,248
8-Jun,North,108
8-Jun,Central,11
8-Jun,Saskatoon,166
8-Jun,South,16
8-Jun,Regina,75
9-Jun,Far North,248
9-Jun,North,108
9-Jun,Central,11
9-Jun,Saskatoon,166
9-Jun,South,16
9-Jun,Regina,75
10-Jun,Far North,248
10-Jun,North,108
10-Jun,Central,11
10-Jun,Saskatoon,166
10-Jun,South,16
10-Jun,Regina,75
11-Jun,Far North,248
11-Jun,North,108
11-Jun,Central,11
11-Jun,Saskatoon,166
11-Jun,South,17
11-Jun,Regina,76
12-Jun,Far North,248
12-Jun,North,108
12-Jun,Central,11
12-Jun,Saskatoon,166
12-Jun,South,17
12-Jun,Regina,77
13-Jun,Far North,248
13-Jun,North,108
13-Jun,Central,11
13-Jun,Saskatoon,166
13-Jun,South,17
13-Jun,Regina,77
