date,region,current_inpatient,current_critical
23-May,Central,0,0
23-May,Saskatoon,1,3
23-May,South,0,0
23-May,Regina,1,0
24-May,Far North,0,0
24-May,North,1,0
24-May,Central,0,0
24-May,Saskatoon,0,3
24-May,South,0,0
24-May,Regina,1,0
25-May,Far North,0,0
25-May,North,1,0
25-May,Central,0,0
25-May,Saskatoon,0,4
25-May,South,0,0
25-May,Regina,1,0
26-May,Far North,0,0
26-May,North,1,0
26-May,Central,0,0
26-May,Saskatoon,0,3
26-May,South,0,0
26-May,Regina,1,0
27-May,Far North,0,0
27-May,North,0,0
27-May,Central,0,0
27-May,Saskatoon,0,3
27-May,South,0,0
27-May,Regina,1,0
28-May,Far North,0,0
28-May,North,0,0
28-May,Central,0,0
28-May,Saskatoon,0,3
28-May,South,0,0
28-May,Regina,1,0
29-May,Far North,0,0
29-May,North,0,0
29-May,Central,0,0
29-May,Saskatoon,1,2
29-May,South,0,0
29-May,Regina,1,0
30-May,Far North,0,0
30-May,North,0,0
30-May,Central,0,0
30-May,Saskatoon,1,1
30-May,South,0,0
30-May,Regina,1,0
31-May,Far North,0,0
31-May,North,0,0
31-May,Central,0,0
31-May,Saskatoon,2,1
31-May,South,0,0
31-May,Regina,1,0
1-Jun,Far North,0,0
1-Jun,North,0,0
1-Jun,Central,0,0
1-Jun,Saskatoon,1,2
1-Jun,South,0,0
1-Jun,Regina,1,0
2-Jun,Far North,0,0
2-Jun,North,0,0
2-Jun,Central,0,0
2-Jun,Saskatoon,0,2
2-Jun,South,0,0
2-Jun,Regina,0,0
3-Jun,Far North,0,0
3-Jun,North,0,0
3-Jun,Central,0,0
3-Jun,Saskatoon,0,2
3-Jun,South,0,0
3-Jun,Regina,0,0
4-Jun,Far North,0,0
4-Jun,North,0,0
4-Jun,Central,0,0
4-Jun,Saskatoon,0,2
4-Jun,South,0,0
4-Jun,Regina,0,0
5-Jun,Far North,0,0
5-Jun,North,0,0
5-Jun,Central,0,0
5-Jun,Saskatoon,0,1
5-Jun,South,0,0
5-Jun,Regina,0,0
6-Jun,Far North,0,0
6-Jun,North,0,0
6-Jun,Central,0,0
6-Jun,Saskatoon,0,1
6-Jun,South,0,0
6-Jun,Regina,0,0
7-Jun,Far North,0,0
7-Jun,North,0,0
7-Jun,Central,0,0
7-Jun,Saskatoon,0,1
7-Jun,South,0,0
7-Jun,Regina,0,0
8-Jun,Far North,0,0
8-Jun,North,0,0
8-Jun,Central,0,0
8-Jun,Saskatoon,0,1
8-Jun,South,0,0
8-Jun,Regina,0,0
9-Jun,Far North,0,0
9-Jun,North,0,0
9-Jun,Central,0,0
9-Jun,Saskatoon,0,1
9-Jun,South,0,0
9-Jun,Regina,0,0
10-Jun,Far North,0,0
10-Jun,North,0,0
10-Jun,Central,0,0
10-Jun,Saskatoon,0,1
10-Jun,South,0,0
10-Jun,Regina,0,0
11-Jun,Far North,0,0
11-Jun,North,0,0
11-Jun,Central,0,0
11-Jun,Saskatoon,0,1
11-Jun,South,0,0
11-Jun,Regina,0,0
12-Jun,Far North,0,0
12-Jun,North,0,0
12-Jun,Central,0,0
12-Jun,Saskatoon,0,1
12-Jun,South,0,0
12-Jun,Regina,0,0
13-Jun,Far North,0,0
13-Jun,North,1,0
13-Jun,Central,0,0
13-Jun,Saskatoon,0,1
13-Jun,South,0,0
13-Jun,Regina,0,0
14-Jun,Far North,0,0
14-Jun,North,1,0
14-Jun,Central,0,0
14-Jun,Saskatoon,0,1
14-Jun,South,0,0
14-Jun,Regina,0,0
15-Jun,Far North,0,0
15-Jun,North,1,0
15-Jun,Central,0,0
15-Jun,Saskatoon,0,1
15-Jun,South,0,0
15-Jun,Regina,0,0
16-Jun,Far North,0,0
16-Jun,North,1,0
16-Jun,Central,0,0
16-Jun,Saskatoon,1,1
16-Jun,South,0,0
16-Jun,Regina,0,0
17-Jun,Far North,0,0
17-Jun,North,0,0
17-Jun,Central,0,0
17-Jun,Saskatoon,1,1
17-Jun,South,0,0
17-Jun,Regina,0,0
18-Jun,Far North,0,0
18-Jun,North,0,0
18-Jun,Central,0,0
18-Jun,Saskatoon,1,1
18-Jun,South,0,0
18-Jun,Regina,0,0
19-Jun,Far North,0,0
19-Jun,North,0,0
19-Jun,Central,0,0
19-Jun,Saskatoon,1,1
19-Jun,South,2,0
19-Jun,Regina,0,0
20-Jun,Far North,0,0
20-Jun,North,0,0
20-Jun,Central,0,0
20-Jun,Saskatoon,0,1
